radio_range_m,trajectory_step_m,receiver_id,receiver_x_m,receiver_y_m,anchor_x_m,anchor_y_m,rssi_dbm,source_file
10,10,26,48.88329952945977,39.469316650481154,53.831898327,35.439306726,-64,10mRange-10m.csv
10,10,26,48.88329952945977,39.469316650481154,43.96266261,34.542054857,-69,10mRange-10m.csv
10,10,8,42.133486596064785,29.763354339444604,43.96266261,34.542054857,-53,10mRange-10m.csv
10,10,64,45.967613478079315,28.561906595628393,43.96266261,34.542054857,-63,10mRange-10m.csv
10,10,58,37.13152216990662,29.17909418104464,43.96266261,34.542054857,-83,10mRange-10m.csv
10,10,79,46.838912083513286,26.992232369983526,43.96266261,34.542054857,-78,10mRange-10m.csv
10,10,37,31.44366912017865,33.134396525075346,33.644946909,35.439306726,-37,10mRange-10m.csv
10,10,58,37.13152216990662,29.17909418104464,33.644946909,35.439306726,-70,10mRange-10m.csv
10,10,37,31.44366912017865,33.134396525075346,23.775794817,32.747662107,-75,10mRange-10m.csv
10,10,39,17.672906739764304,39.06731874429388,23.775794817,32.747662107,-84,10mRange-10m.csv
10,10,41,12.514635539457542,24.389234502660585,13.457995488,31.850521227,-73,10mRange-10m.csv
10,10,39,17.672906739764304,39.06731874429388,13.457995488,31.850521227,-81,10mRange-10m.csv
10,10,15,13.358880131311778,37.58945459982013,13.457995488,31.850521227,-58,10mRange-10m.csv
10,10,5,1.5945088243646377,21.254770835610024,3.588843399,29.607501557,-82,10mRange-10m.csv
10,10,5,1.5945088243646377,21.254770835610024,-4.93453423,27.364481196,-86,10mRange-10m.csv
10,10,15,13.358880131311778,37.58945459982013,11.663573792,39.925230444,-34,10mRange-10m.csv
10,10,39,17.672906739764304,39.06731874429388,11.663573792,39.925230444,-61,10mRange-10m.csv
10,10,17,15.885689584537932,41.90960292924735,11.663573792,39.925230444,-49,10mRange-10m.csv
10,10,19,15.527386449103153,42.41076821080699,11.663573792,39.925230444,-49,10mRange-10m.csv
10,10,15,13.358880131311778,37.58945459982013,21.981373117,42.616872402,-94,10mRange-10m.csv
10,10,17,15.885689584537932,41.90960292924735,21.981373117,42.616872402,-62,10mRange-10m.csv
10,10,19,15.527386449103153,42.41076821080699,21.981373117,42.616872402,-64,10mRange-10m.csv
10,10,39,17.672906739764304,39.06731874429388,21.981373117,42.616872402,-57,10mRange-10m.csv
10,10,81,32.6347051963523,48.918341041081824,31.850525209,43.962637345,-52,10mRange-10m.csv
10,10,77,30.41920174199787,49.58398182308602,31.850525209,43.962637345,-59,10mRange-10m.csv
10,10,26,48.88329952945977,39.469316650481154,42.168324535,45.757027323,-88,10mRange-10m.csv
10,10,26,48.88329952945977,39.469316650481154,52.48604024,47.551416855,-85,10mRange-10m.csv
10,10,25,51.83905735385436,57.11751415315841,52.48604024,47.551416855,-91,10mRange-10m.csv
10,10,63,49.15574941239795,56.59342022957459,52.48604024,47.551416855,-91,10mRange-10m.csv
10,10,94,71.55780216318286,48.49899147236217,62.355275956,48.000041999,-88,10mRange-10m.csv
10,10,83,72.93967948274049,43.357431136564294,72.672991657,49.794430979,-64,10mRange-10m.csv
10,10,94,71.55780216318286,48.49899147236217,72.672991657,49.794430979,-24,10mRange-10m.csv
10,10,91,80.1900431334469,44.24317164719582,72.672991657,49.794430979,-89,10mRange-10m.csv
10,10,3,78.50852571037504,52.903068295271105,72.672991657,49.794430979,-66,10mRange-10m.csv
10,10,60,75.8430678445169,57.022981005432996,72.672991657,49.794430979,-77,10mRange-10m.csv
10,10,60,75.8430678445169,57.022981005432996,82.093580137,51.140194594,-82,10mRange-10m.csv
10,10,91,80.1900431334469,44.24317164719582,82.093580137,51.140194594,-70,10mRange-10m.csv
10,10,95,84.32591784135423,51.57231469610755,82.093580137,51.140194594,-29,10mRange-10m.csv
10,10,3,78.50852571037504,52.903068295271105,82.093580137,51.140194594,-43,10mRange-10m.csv
10,10,69,95.37849312737588,43.20431696626093,92.411379466,50.691569643,-78,10mRange-10m.csv
10,10,95,84.32591784135423,51.57231469610755,92.411379466,50.691569643,-79,10mRange-10m.csv
10,10,95,84.32591784135423,51.57231469610755,81.645016524,61.009379879,-93,10mRange-10m.csv
10,10,60,75.8430678445169,57.022981005432996,81.645016524,61.009379879,-69,10mRange-10m.csv
10,10,3,78.50852571037504,52.903068295271105,81.645016524,61.009379879,-83,10mRange-10m.csv
10,10,60,75.8430678445169,57.022981005432996,72.224428045,59.214993674,-45,10mRange-10m.csv
10,10,3,78.50852571037504,52.903068295271105,72.224428045,59.214993674,-85,10mRange-10m.csv
10,10,25,51.83905735385436,57.11751415315841,61.458065107,58.317744742,-92,10mRange-10m.csv
10,10,25,51.83905735385436,57.11751415315841,52.037476627,56.52335787,-15,10mRange-10m.csv
10,10,63,49.15574941239795,56.59342022957459,52.037476627,56.52335787,-34,10mRange-10m.csv
10,10,63,49.15574941239795,56.59342022957459,40.822550076,55.177595257,-81,10mRange-10m.csv
10,10,77,30.41920174199787,49.58398182308602,29.607539901,54.280345829,-50,10mRange-10m.csv
10,10,81,32.6347051963523,48.918341041081824,29.607539901,54.280345829,-62,10mRange-10m.csv
10,10,78,29.655093521628707,61.03501195039935,29.607539901,54.280345829,-67,10mRange-10m.csv
10,10,19,15.527386449103153,42.41076821080699,19.738387809,50.691569643,-88,10mRange-10m.csv
10,10,17,15.885689584537932,41.90960292924735,19.738387809,50.691569643,-91,10mRange-10m.csv
10,10,19,15.527386449103153,42.41076821080699,9.420588479,49.794430979,-91,10mRange-10m.csv
10,10,2,8.140090528173738,67.34379514616491,9.869235717,61.009379879,-65,10mRange-10m.csv
10,10,55,14.744486875156216,60.629657476055,9.869235717,61.009379879,-51,10mRange-10m.csv
10,10,55,14.744486875156216,60.629657476055,19.738387809,63.252389846,-57,10mRange-10m.csv
10,10,62,24.184223284077667,66.8223773760004,19.738387809,63.252389846,-58,10mRange-10m.csv
10,10,27,24.293090907480718,66.48178135202865,19.738387809,63.252389846,-57,10mRange-10m.csv
10,10,78,29.655093521628707,61.03501195039935,30.95331436,64.149526845,-38,10mRange-10m.csv
10,10,62,24.184223284077667,66.8223773760004,30.95331436,64.149526845,-71,10mRange-10m.csv
10,10,27,24.293090907480718,66.48178135202865,30.95331436,64.149526845,-69,10mRange-10m.csv
10,10,89,32.975891421199336,72.77123320376357,30.95331436,64.149526845,-85,10mRange-10m.csv
10,10,75,55.25227560957985,76.11391538038814,50.691702168,68.186920272,-87,10mRange-10m.csv
10,10,75,55.25227560957985,76.11391538038814,61.458065107,69.084167983,-89,10mRange-10m.csv
10,10,6,57.90016865462063,77.8178385924499,61.458065107,69.084167983,-90,10mRange-10m.csv
10,10,67,60.21954564473897,71.34012857877295,61.458065107,69.084167983,-31,10mRange-10m.csv
10,10,24,73.39615828295075,74.36186741054864,71.327217198,70.87855175,-44,10mRange-10m.csv
10,10,42,70.38631665301564,75.69312757677363,71.327217198,70.87855175,-51,10mRange-10m.csv
10,10,12,70.56626917014894,78.03030648735577,71.327217198,70.87855175,-71,10mRange-10m.csv
10,10,24,73.39615828295075,74.36186741054864,81.645016524,72.224311455,-82,10mRange-10m.csv
10,10,76,87.67777173819772,79.57315662425682,81.645016524,72.224311455,-90,10mRange-10m.csv
10,10,76,87.67777173819772,79.57315662425682,92.859943079,72.224311455,-86,10mRange-10m.csv
10,10,61,98.85630181443345,76.20547400917023,92.859943079,72.224311455,-71,10mRange-10m.csv
10,10,61,98.85630181443345,76.20547400917023,92.859943079,82.093468077,-81,10mRange-10m.csv
10,10,76,87.67777173819772,79.57315662425682,92.859943079,82.093468077,-58,10mRange-10m.csv
10,10,76,87.67777173819772,79.57315662425682,80.747805678,82.990714068,-75,10mRange-10m.csv
10,10,85,79.35793391386238,91.54391897149424,80.747805678,82.990714068,-83,10mRange-10m.csv
10,10,42,70.38631665301564,75.69312757677363,68.635584649,80.747710201,-55,10mRange-10m.csv
10,10,24,73.39615828295075,74.36186741054864,68.635584649,80.747710201,-77,10mRange-10m.csv
10,10,12,70.56626917014894,78.03030648735577,68.635584649,80.747710201,-38,10mRange-10m.csv
10,10,90,61.26142526635307,82.46634202569989,68.635584649,80.747710201,-74,10mRange-10m.csv
10,10,67,60.21954564473897,71.34012857877295,58.76643256,78.056082384,-68,10mRange-10m.csv
10,10,90,61.26142526635307,82.46634202569989,58.76643256,78.056082384,-53,10mRange-10m.csv
10,10,6,57.90016865462063,77.8178385924499,58.76643256,78.056082384,-17,10mRange-10m.csv
10,10,75,55.25227560957985,76.11391538038814,58.76643256,78.056082384,-44,10mRange-10m.csv
10,10,29,52.51179803085078,83.82332790737001,58.76643256,78.056082384,-82,10mRange-10m.csv
10,10,45,57.9013204635908,80.6741106715585,58.76643256,78.056082384,-33,10mRange-10m.csv
10,10,6,57.90016865462063,77.8178385924499,48.448716856,77.607570419,-90,10mRange-10m.csv
10,10,75,55.25227560957985,76.11391538038814,48.448716856,77.607570419,-69,10mRange-10m.csv
10,10,29,52.51179803085078,83.82332790737001,48.448716856,77.607570419,-73,10mRange-10m.csv
10,10,45,57.9013204635908,80.6741106715585,48.448716856,77.607570419,-94,10mRange-10m.csv
