trajectory_step_m,node_id,time_s,cooja_x_m,cooja_y_m,cooja_z_m
10,1,89.0,-13.906475472,77.158947103,0.0
10,1,90.0,-3.588759771,80.29908708,0.0
10,1,91.0,7.177603171,82.542091086,0.0
10,1,92.0,17.495402496,83.887848626,0.0
10,1,93.0,28.261765438,86.130851522,0.0
10,1,94.0,39.028128377,86.579474284,0.0
10,1,95.0,48.000069619,89.271098942,0.0
10,1,96.0,58.76643256,90.616855236,0.0
10,1,97.0,69.084231886,91.06547772,0.0
10,1,98.0,81.196369287,93.757100714,0.0
10,1,99.0,92.859943079,94.654233941,0.0
20,1,0.0,0.0,0.0,0.0
20,1,1.0,19.286996256,2.916256344,0.0
20,1,2.0,39.022548704,6.729640734,0.0
20,1,3.0,58.309544959,9.645894374,0.0
20,1,4.0,77.372263122,12.337725576,0.0
20,1,5.0,97.556288132,13.907895045,0.0
20,1,6.0,97.10781557,32.975213385,0.0
20,1,7.0,76.250872651,29.161731459,0.0
20,1,8.0,56.291125733,28.264493689,0.0
20,1,9.0,35.882739004,24.002390127,0.0
20,1,10.0,15.698713993,21.534872919,0.0
20,1,11.0,-3.364004169,17.272765405,0.0
20,1,12.0,-5.830979584,37.013002495,0.0
20,1,13.0,13.680294768,41.050789359,0.0
20,1,14.0,33.191569119,42.845372946,0.0
20,1,15.0,52.254287282,47.107465445,0.0
20,1,16.0,71.765561634,49.574973959,0.0
20,1,17.0,91.052557893,51.36955544,0.0
20,1,18.0,89.706972949,71.109811121,0.0
20,1,19.0,69.522864312,67.296349232,0.0
20,1,20.0,49.787395491,64.380118754,0.0
20,1,21.0,30.051843046,62.136923685,0.0
20,1,22.0,9.867734409,58.996493952,0.0
20,1,23.0,-9.419261847,55.407334318,0.0
20,1,24.0,-12.783266016,74.250346933,0.0
20,1,25.0,6.952286432,76.942154177,0.0
20,1,26.0,26.015004595,81.428534472,0.0
20,1,27.0,45.974835135,82.550184772,0.0
20,1,28.0,65.037553298,86.363638648,0.0
20,1,29.0,84.324549554,88.606826229,0.0
30,1,0.0,0.0,0.0,0.0
30,1,1.0,29.378976974,3.589183369,0.0
30,1,2.0,58.757953951,7.85129457,0.0
30,1,3.0,88.585570255,11.216052988,0.0
30,1,4.0,85.670041805,41.275056323,0.0
30,1,5.0,55.842509125,36.340037844,0.0
30,1,6.0,25.790698594,32.30225248,0.0
30,1,7.0,-4.485389787,26.694188783,0.0
30,1,8.0,-8.970695952,56.080202947,0.0
30,1,9.0,20.408281022,60.117975088,0.0
30,1,10.0,49.563063772,65.726012961,0.0
30,1,11.0,79.39059645,68.417820621,0.0
30,1,12.0,76.250873773,97.355274342,0.0
30,1,13.0,45.974785389,92.868797148,0.0
30,1,14.0,15.474419154,89.055350578,0.0
30,1,15.0,-13.456085739,83.671638248,0.0
40,1,0.0,0.0,0.0,0.0
40,1,1.0,39.246922648,5.383681368,0.0
40,1,2.0,78.269566656,10.094427122,0.0
40,1,3.0,75.129749291,50.24801989,0.0
40,1,4.0,34.761517053,42.396744488,0.0
40,1,5.0,-5.606715181,36.340050058,0.0
40,1,6.0,-11.661904023,75.596374907,0.0
40,1,7.0,27.13646134,82.32596157,0.0
40,1,8.0,66.83185765,87.485385043,0.0
50,1,0.0,0.0,0.0,0.0
50,1,1.0,49.338892743,7.178268285,0.0
50,1,2.0,98.67778549,10.991765649,0.0
50,1,3.0,95.313777677,60.79102378,0.0
50,1,4.0,45.526328255,56.304626154,0.0
50,1,5.0,-5.382429225,46.883093059,0.0
50,1,6.0,-15.923009337,96.233823758,0.0
50,1,7.0,33.191605071,103.860722907,0.0
50,1,8.0,82.754776153,109.020124057,0.0
